"Site","Plot","Fires","Frame","Species","Distance_m","Distance_ft","Live.Dead"
"DALTON","8_2",2,1,"PIME",2.9,NA,"D"
"DALTON","8_2",2,1,"SALIX",0.5,NA,"L"
"DALTON","8_2",2,1,"ALCR",2.5,NA,"L"
"DALTON","8_2",2,2,"BENE",2.8,NA,"L"
"DALTON","8_2",2,2,"PIME",2.5,NA,"D"
"DALTON","8_2",2,2,"SALIX",2.5,NA,"L"
"DALTON","8_2",2,2,"ALCR",1.5,NA,"L"
"DALTON","8_2",2,3,"BENE",1.7,NA,"L"
"DALTON","8_2",2,3,"PIME",2.1,NA,"L"
"DALTON","8_2",2,3,"SALIX",1.8,NA,"L"
"DALTON","8_2",2,3,"ALCR",0.9,NA,"L"
"DALTON","8_2",2,4,"BENE",1.3,NA,"L"
"DALTON","8_2",2,4,"PIME",0.3,NA,"D"
"DALTON","8_2",2,4,"SALIX",2,NA,"L"
"DALTON","8_2",2,4,"ALCR",0.9,NA,"L"
"DALTON","8_2",2,5,"BENE",1.7,NA,"L"
"DALTON","8_2",2,5,"PIME",1.6,NA,"D"
"DALTON","8_2",2,5,"SALIX",0.6,NA,"L"
"DALTON","8_2",2,5,"ALCR",1,NA,"L"
"DALTON","8_2",2,6,"BENE",3.1,NA,"L"
"DALTON","8_2",2,6,"PIME",1.2,NA,"D"
"DALTON","8_2",2,6,"SALIX",1,NA,"L"
"DALTON","8_2",2,6,"ALCR",2.5,NA,"L"
"DALTON","8_2",2,7,"BENE",2.7,NA,"L"
"DALTON","8_2",2,7,"PIME",1.4,NA,"L"
"DALTON","8_2",2,7,"SALIX",1,NA,"L"
"DALTON","8_2",2,7,"ALCR",1.1,NA,"L"
"DALTON","8_2",2,8,"BENE",2.3,NA,"L"
"DALTON","8_2",2,8,"PIME",1.3,NA,"D"
"DALTON","8_2",2,8,"SALIX",2.2,NA,"L"
"DALTON","8_2",2,8,"ALCR",3,NA,"L"
"DALTON","8_2",2,9,"BENE",1,NA,"L"
"DALTON","8_2",2,9,"PIME",0.8,NA,"D"
"DALTON","8_2",2,9,"SALIX",1.3,NA,"L"
"DALTON","8_2",2,9,"ALCR",0.15,NA,"L"
"DALTON","8_2",2,10,"BENE",3,NA,"L"
"DALTON","8_2",2,10,"PIME",2.8,NA,"L"
"DALTON","8_2",2,10,"SALIX",1.3,NA,"L"
"DALTON","8_2",2,10,"ALCR",1.2,NA,"L"
"DALTON","8_2",2,10,"POTR",3.1,NA,"L"
"DALTON","39_2",2,1,"BENE",1.5,NA,"L"
"DALTON","39_2",2,1,"PIME",2.1,NA,"D"
"DALTON","39_2",2,1,"SALIX",1.6,NA,"L"
"DALTON","39_2",2,1,"ALCR",1.2,NA,"L"
"DALTON","39_2",2,2,"BENE",0.08,NA,"L"
"DALTON","39_2",2,2,"PIME",1.3,NA,"D"
"DALTON","39_2",2,2,"SALIX",0.7,NA,"L"
"DALTON","39_2",2,2,"ALCR",2.2,NA,"L"
"DALTON","39_2",2,3,"BENE",0.01,NA,"L"
"DALTON","39_2",2,3,"PIME",3.4,NA,"D"
"DALTON","39_2",2,3,"SALIX",1.2,NA,"L"
"DALTON","39_2",2,3,"ALCR",2.1,NA,"L"
"DALTON","39_2",2,4,"BENE",1.1,NA,"L"
"DALTON","39_2",2,4,"PIME",1.4,NA,"D"
"DALTON","39_2",2,4,"SALIX",2.1,NA,"L"
"DALTON","39_2",2,4,"ALCR",2,NA,"L"
"DALTON","39_2",2,5,"BENE",NA,3,"L"
"DALTON","39_2",2,5,"PIME",NA,6,"D"
"DALTON","39_2",2,5,"SALIX",NA,3.5,"L"
"DALTON","39_2",2,5,"ALCR",NA,7.5,"L"
"DALTON","39_2",2,6,"BENE",NA,3.5,"L"
"DALTON","39_2",2,6,"PIME",NA,11.5,"D"
"DALTON","39_2",2,6,"SALIX",NA,8,"L"
"DALTON","39_2",2,6,"ALCR",NA,5.5,"L"
"DALTON","39_2",2,7,"BENE",NA,2,"L"
