Site,Plot,Fires,Frame,Species,Distance_m,Distance_ft,Live/Dead
STEESE,24_3,3,2,BENE,3.1,,L
STEESE,24_3,3,3,POTR,0.58,,L
STEESE,24_3,3,3,SALIX,1.1,,L
STEESE,24_3,3,3,BENE,1.62,,L
STEESE,24_3,3,4,POTR,0.86,,L
STEESE,24_3,3,4,SALIX,0.54,,L
STEESE,24_3,3,4,BENE,4.01,,L
STEESE,24_3,3,5,POTR,1.48,,L
STEESE,24_3,3,5,SALIX,0.97,,L
STEESE,24_3,3,5,BENE,4.03,,L
STEESE,24_3,3,6,POTR,0.83,,L
STEESE,24_3,3,6,SALIX,0.56,,L
STEESE,24_3,3,6,BENE,0.65,,L
STEESE,24_3,3,7,POTR,0.07,,L
STEESE,24_3,3,7,SALIX,0.77,,L
STEESE,24_3,3,7,BENE,0.66,,L
STEESE,24_3,3,8,POTR,0.64,,L
STEESE,24_3,3,8,SALIX,1.21,,L
STEESE,24_3,3,8,BENE,1.47,,L
STEESE,24_3,3,9,POTR,0.58,,L
STEESE,24_3,3,9,SALIX,0.55,,L
STEESE,24_3,3,9,BENE,2.64,,L
STEESE,24_3,3,10,POTR,0.72,,L
STEESE,24_3,3,10,SALIX,0.74,,L
STEESE,24_3,3,10,BENE,5.5,,L
STEESE,19_2,2,1,PIME,1.58,,D
STEESE,19_2,2,1,SALIX,1.7,,L
STEESE,19_2,2,1,BENE,5.5,,L
STEESE,19_2,2,1,POTR,1.53,,L
STEESE,19_2,2,1,ALCR,8.9,,L
STEESE,19_2,2,2,PIME,0.88,,D
STEESE,19_2,2,2,SALIX,0.6,,L
STEESE,19_2,2,2,BENE,3.09,,L
STEESE,19_2,2,2,POTR,4.7,,L
STEESE,19_2,2,2,ALCR,,54.5,L
STEESE,19_2,2,3,PIME,0.4,,D
STEESE,19_2,2,3,SALIX,2.35,,L
STEESE,19_2,2,3,BENE,1.9,,L
STEESE,19_2,2,3,POTR,1.1,,L
STEESE,19_2,2,3,ALCR,,48,L
STEESE,19_2,2,4,PIME,0.76,,D
STEESE,19_2,2,4,SALIX,1.1,,L
STEESE,19_2,2,4,BENE,2.94,,L
STEESE,19_2,2,4,POTR,2.21,,L
STEESE,19_2,2,4,ALCR,4.9,,L
STEESE,19_2,2,5,PIME,0.1,,D
STEESE,19_2,2,5,SALIX,0.67,,L
STEESE,19_2,2,5,BENE,3.98,,L
STEESE,19_2,2,5,POTR,4.55,,L
STEESE,19_2,2,5,ALCR,,52,L
STEESE,19_2,2,6,PIME,0.63,,D
STEESE,19_2,2,6,SALIX,1.24,,L
STEESE,19_2,2,6,BENE,0.97,,L
STEESE,19_2,2,6,POTR,4.7,,L
STEESE,19_2,2,6,ALCR,5.8,,L
STEESE,19_2,2,7,PIME,0.64,,D
STEESE,19_2,2,7,SALIX,1.62,,L
STEESE,19_2,2,7,BENE,0.68,,L
STEESE,19_2,2,7,POTR,1.9,,L
STEESE,19_2,2,7,ALCR,,36,L
STEESE,19_2,2,8,PIME,0.71,,D
