tree,maxfuel,minfuel
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1035_vegout.csv,0.1,0.038012
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1036_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1037_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1038_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1039_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree104_vegout.csv,0.1,0.09024
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1040_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1041_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1042_vegout.csv,0.2,0.2
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1043_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1044_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1045_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1046_vegout.csv,0.15,1.5e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1047_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1048_vegout.csv,0.25,0.25
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1049_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree105_vegout.csv,0.2,0.2
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1050_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1051_vegout.csv,0.25,0.25
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1052_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1053_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1054_vegout.csv,0.2,0.2
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1055_vegout.csv,0.05,0.018158
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1056_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1057_vegout.csv,0.15,1.5e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1058_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1059_vegout.csv,0.2,0.10297
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree106_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1060_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1061_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1062_vegout.csv,0.25,0.24962
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1063_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1064_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1065_vegout.csv,0.05,0.012132
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1066_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1067_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1068_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1069_vegout.csv,0.1,0.035944
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree107_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1070_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1071_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1072_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1073_vegout.csv,0.25,0.25
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1074_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1075_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1076_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1077_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1078_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1079_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree108_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1080_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1081_vegout.csv,0.15,1.5e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1082_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1083_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1084_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1085_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1086_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1087_vegout.csv,0.2,2e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1088_vegout.csv,0.15,1.5e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1089_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree109_vegout.csv,0.15,0.049258
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1090_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1091_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1092_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1093_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1094_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1095_vegout.csv,0.1,0.051641
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1096_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1097_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1098_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1099_vegout.csv,0.1,0.063993
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree11_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree110_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1100_vegout.csv,0.1,0.042256
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1101_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1102_vegout.csv,0.25,0.25
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1103_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1104_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1105_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1106_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1107_vegout.csv,0.2,0.2
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1108_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1109_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree111_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1110_vegout.csv,0.15,0.15
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1111_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1112_vegout.csv,0.2,2e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1113_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1114_vegout.csv,0.1,0.1
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1115_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1116_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1117_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1118_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1119_vegout.csv,0.1,1e-4
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree112_vegout.csv,0.2,0.2
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1120_vegout.csv,0.05,0.05
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1121_vegout.csv,0.05,5e-5
Z:/Research/Hoffman/People/Justin_Z/inprogress/ak/1x_hifuel_hiwx/tree/1x_ex_hifuel_tree1122_vegout.csv,0.05,0.05
